Taxonomy	Nextlevel	tax_compiled
Alveolate;	Other	Other Alveolate
Alveolate;Apicomplexa;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Chromeraceae;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Chromeraceae;Incertae sedis;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Chromeraceae;Incertae sedis;Chromera;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Chromeraceae;Incertae sedis;Chromera;Chromera velia;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Vitrellaceae;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Vitrellaceae;Incertae sedis;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Vitrellaceae;Incertae sedis;Vitrella;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Chromerida;Vitrellaceae;Incertae sedis;Vitrella;Vitrella brassicaformis;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Conoidasida;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Conoidasida;Incertae sedis;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Conoidasida;Incertae sedis;Incertae sedis;	Apicomplexa	Other Alveolate
Alveolate;Apicomplexa;Conoidasida;Incertae sedis;Incertae sedis;Lankesteria;	Apicomplexa	Other Alveolate
Alveolate;Ciliate;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;Cyrtolophosidida;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;Cyrtolophosidida;Cyrtolophosidae;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;Cyrtolophosidida;Cyrtolophosidae;Aristerostoma;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;Cyrtolophosidida;Cyrtolophosidae;Aristerostoma;Aristerostoma sp.;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;Cyrtolophosidida;Platyophryidae;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;Cyrtolophosidida;Platyophryidae;Platyophyra;	Ciliate	Ciliate
Alveolate;Ciliate;Colpodea;Cyrtolophosidida;Platyophryidae;Platyophyra;Platyophrya macrostoma;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Blepharismidae;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Blepharismidae;Blepharisma;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Blepharismidae;Blepharisma;Blepharisma japonicum;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Climacostomidae;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Climacostomidae;Climacostomum;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Climacostomidae;Climacostomum;Climacostomum virens;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Climacostomidae;Fabrea;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Condylostomatidae;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Condylostomatidae;Condylostoma;	Ciliate	Ciliate
Alveolate;Ciliate;Heterotrichea;Heterotrichia;Condylostomatidae;Condylostoma;Condylostoma magnum;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Cyclotrichiida;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Cyclotrichiida;Mesodiniidae;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Cyclotrichiida;Mesodiniidae;Mesodinium;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Cyclotrichiida;Mesodiniidae;Mesodinium;Mesodinium pulex;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Cyclotrichiida;Mesodiniidae;Myrionecta;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Cyclotrichiida;Mesodiniidae;Myrionecta;Myrionecta rubra;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Pleurostomatida;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Pleurostomatida;Litonotidae;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Pleurostomatida;Litonotidae;Litonotus;	Ciliate	Ciliate
Alveolate;Ciliate;Litostomatea;Pleurostomatida;Litonotidae;Litonotus;Litonotus pictus;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Peniculida;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Peniculida;Parameciidae;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium tetraurelia;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Philasterida;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Philasterida;Orchitophryidae;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Philasterida;Orchitophryidae;Anophryoides;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Philasterida;Orchitophryidae;Anophryoides;Anophryoides haemophila;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Philasterida;Uronematidae;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Philasterida;Uronematidae;Uronema;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Tetrahymenida;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Tetrahymenida;Tetrahymenidae;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Tetrahymenida;Tetrahymenidae;Tetrahymena;	Ciliate	Ciliate
Alveolate;Ciliate;Oligohymenophorea;Tetrahymenida;Tetrahymenidae;Tetrahymena;Tetrahymena thermophila;	Ciliate	Ciliate
Alveolate;Ciliate;Prostomatea;	Ciliate	Ciliate
Alveolate;Ciliate;Prostomatea;Prorodontida;	Ciliate	Ciliate
Alveolate;Ciliate;Prostomatea;Prorodontida;Colepidae;	Ciliate	Ciliate
Alveolate;Ciliate;Prostomatea;Prorodontida;Colepidae;Tiarina;	Ciliate	Ciliate
Alveolate;Ciliate;Prostomatea;Prorodontida;Colepidae;Tiarina;Tiarina fusus;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;Strombidiidae;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;Strombidiidae;Strombidium;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;Strombidiidae;Strombidium;Strombidium inclinatum;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;Strombidiidae;Strombidium;Strombidium rassoulzadegani;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;Strombidinopsidae;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;	Ciliate	Ciliate
Alveolate;Ciliate;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis acuminatum;	Ciliate	Ciliate
