KO	Gene_identification	A	B	C	D
K09377	CSRP; cysteine and glycine-rich protein	NA	NA	NA	NA
K03283	HSPA1_8; heat shock 70kDa protein 1/8	Structural complex	Genetic information processing	Spliceosome	Spliceosome, 35S U5-snRNP
K03283	HSPA1_8; heat shock 70kDa protein 1/8	Structural complex	Genetic information processing	Spliceosome	Spliceosome, Prp19/CDC5L complex
K08843	LRRK1; leucine-rich repeat kinase 1 [EC:2.7.11.1]	NA	NA	NA	NA
K15986	ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]	NA	NA	NA	NA
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
K01279	TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]	NA	NA	NA	NA
K02966	RP-S19e, RPS19; small subunit ribosomal protein S19e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02966	RP-S19e, RPS19; small subunit ribosomal protein S19e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K00898	PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]	NA	NA	NA	NA
K15102	SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3	NA	NA	NA	NA
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Heme biosynthesis, glutamate => protoheme/siroheme
K05618	SLC1A7, EAAT5; solute carrier family 1 (glutamate transporter), member 7	NA	NA	NA	NA
K10408	DNAH; dynein heavy chain, axonemal	NA	NA	NA	NA
K03660	OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	NA	NA	NA	NA
K10599	PRPF19, PRP19; pre-mRNA-processing factor 19 [EC:2.3.2.27]	Structural complex	Genetic information processing	Spliceosome	Spliceosome, 35S U5-snRNP
K10599	PRPF19, PRP19; pre-mRNA-processing factor 19 [EC:2.3.2.27]	Structural complex	Genetic information processing	Spliceosome	Spliceosome, Prp19/CDC5L complex
K10739	RFA2, RPA2; replication factor A2	Structural complex	Genetic information processing	Replication system	RPA complex
K11843	USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]	NA	NA	NA	NA
K10394	KIF3A; kinesin family member 3A	NA	NA	NA	NA
K11594	DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]	NA	NA	NA	NA
