Target	Target_2	Category	KO	GeneID	Full_GeneName	Phagotrophy_annotation	Notes	
C metabolism	Calvin cycle	Calvin cycle	K03841	"FBP, fbp"	"fructose-1,6-bisphosphatase I "			
C metabolism	Calvin cycle	Calvin cycle	K02446	glpX	"fructose-1,6-bisphosphatase II "			
C metabolism	Calvin cycle	Calvin cycle	K11532	glpX-SEBP	"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase "			
C metabolism	Calvin cycle	Calvin cycle	K04041	fbp3	"fructose-1,6-bisphosphatase III "			
C metabolism	Calvin cycle	Calvin cycle	K01623	ALDO	"fructose-bisphosphate aldolase, class I "			
C metabolism	Calvin cycle	Calvin cycle	K01624	"FBA, fbaA"	"fructose-bisphosphate aldolase, class II "			
C metabolism	Calvin cycle	Calvin cycle	K00134	"GAPDH, gapA"	glyceraldehyde 3-phosphate dehydrogenase 			
C metabolism	Calvin cycle	Calvin cycle	K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) 			
C metabolism	Calvin cycle	Calvin cycle	K05298	GAPA	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) 			
C metabolism	Calvin cycle	Calvin cycle	K00927	"PGK, pgk"	phosphoglycerate kinase 			
C metabolism	Calvin cycle	Calvin cycle	K00855	"PRK, prkB"	phosphoribulokinase 			
C metabolism	Calvin cycle	Calvin cycle	K01807	rpiA	ribose 5-phosphate isomerase A 			
C metabolism	Calvin cycle	Calvin cycle	K01808	rpiB	ribose 5-phosphate isomerase B 			
C metabolism	Calvin cycle	Calvin cycle	K01601	rbcL	ribulose-bisphosphate carboxylase large chain 			
C metabolism	Calvin cycle	Calvin cycle	K01602	rbcS	ribulose-bisphosphate carboxylase small chain 			
C metabolism	Calvin cycle	Calvin cycle	K01100	SBPase	sedoheptulose-bisphosphatase 			
C metabolism	Calvin cycle	Calvin cycle	K00615	"tktA, tktB"	transketolase 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01834	"PGAM, gpmA"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K15633	gpmI	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K15635	apgM	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01689	"ENO, eno"	enolase 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01622	fbp aldolase/phosphatase	"fructose 1,6-bisphosphate aldolase/phosphatase "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K03841	"FBP, fbp"	"fructose-1,6-bisphosphatase I "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K02446	glpX	"fructose-1,6-bisphosphatase II "			
